region,country
Northern Europe,Denmark
Northern Europe,Estonia
Northern Europe,Finland
Northern Europe,Ireland
Northern Europe,Latvia
Northern Europe,Lithuania
Northern Europe,Sweden
Western Europe,Austria
Western Europe,Belgium
Western Europe,France
Western Europe,Germany
Western Europe,Luxembourg
Western Europe,Netherlands
Southern Europe,Bulgaria
Southern Europe,Croatia
Southern Europe,Cyprus
Southern Europe,Greece
Southern Europe,Italy
Southern Europe,Malta
Southern Europe,Portugal
Southern Europe,Slovenia
Southern Europe,Spain
Eastern Europe,Czech Republic
Eastern Europe,Hungary
Eastern Europe,Poland
Eastern Europe,Romania
Eastern Europe,Slovakia
